"user_id"	"event_time"	"meta_data"
"CAESEL5LmU9izQykG0ZhVKyBQHs"	"1544691007488745"	"dc_pre=CIz3j7a2nN8CFZVMKwodFLcEGg;u1=4617842802;u2=2384539156;u4=138250049677;u5=970x250;u6=j;~oref=https://www.testsite03.com.au/"
"0"	"1544698147047353"	"u1=http://m.facebook.com;u2=article;u3=National;u5=Article;dc_rdid=*;_dc_1=3;~oref=https://www.testsite03.com.au/education/how-girls-and-boys-fared-in-the-2018-hsc-results-20181213-p50m3k.html"
"0"	"1544657357339208"	"u1=https://www.google.com.au/;u2=article;u3=Homepage;u5=Homepage;dc_rdid=*;_dc_1=3;~oref=https://www.testsite03.com.au/"
"CAESEGB-DtUgRY9Ws2GKzcvGSFU"	"1544672281875243"	"dc_pre=CMLf_dTwm98CFZVKKwod7gUNyA;u1=4651659513;u2=2436011970;u4=138251833002;u5=728x90;u6=j;u7=582d30ace463ab09d90d391cf83b00f4;~oref=https://www.testsite03.com.au/politics/federal/morrison-backs-national-anti-corruption-commission-following-labor-demands-20181213-p50lzf.html"
"CAESEAhDrbe3aSQwxPTkYT3H0RI"	"1544655681130247"	"dc_pre=CMvTpemym98CFZBliwodBPsKfg;u1=4513525805;u2=2426015707;u4=138249801650;u5=728x90;u6=j;~oref=https://www.testsite03.com.au/"
"0"	"1544684767212744"	"u1=https://www.testsite03.com.au/;u2=article;u3=Homepage;u5=Homepage;dc_rdid=*;_dc_1=3;~oref=https://www.testsite03.com.au/"
"CAESECUts_wcGk4QxOHZaX_85xE"	"1544659479129837"	"dc_pre=CIOXq_zAm98CFVCIwgod_HYORQ;u1=4513525805;u2=2383318522;u4=138242981870;u5=300x250;u6=j;~oref=https://www.testsite01.com.au/"
"CAESEO9FTa2kuPBfFSQ9e_DVGjI"	"1544682973263870"	"dc_pre=CKHYo7-YnN8CFQZMKwod8TkAbQ;u1=4513525805;u2=2442952711;u4=138253628205;u5=300x250;u6=j;~oref=https://www.testsite01.com.au/politics/federal/morrison-vows-action-on-power-prices-as-conservative-mps-maintain-the-rage-20180824-p4zzn9.html"
"CAESEC2jB0hFGVJvPTQS5_q6V-o"	"1544683111896796"	"dc_pre=CPXMnYGZnN8CFZhKKwodx-4OGQ;u1=4537116216;u2=2406046948;u4=138254010736;u5=970x250;u6=j;u7=fe2364722e9e9d961c7a7fbd54e5d88f;~oref=https://www.testsite01.com.au/"
"CAESENeqoRqC_T55TKYK5-3BRtE"	"1544704937329516"	"dc_pre=CNzXuajqnN8CFQpRjgodSqcOKQ;u1=4513525805;u2=2442627830;u4=138253670258;u5=300x250;u6=j;~oref=https://www.testsite01.com.au/lifestyle/the-right-angle-20071014-gdrbpw.html"
"0"	"1544655610149199"	"dc_pre=CPanuseym98CFVUTaAodcLMH5g;u1=4617842802;u2=2384539156;u4=138249792552;u5=970x250;u6=j;~oref=https://www.testsite03.com.au/"
"CAESEMyo8G5WsW5mvOdgSdq1XKw"	"1544669999779635"	"dc_pre=CI_2gJXom98CFZUPKwodL-YCJg;u1=4513525805;u2=2420374692;u4=138248789574;u5=728x90;u6=j;~oref=https://www.testsite03.com.au/"
"CAESEFQhHjO2lPZkm3pZcgSmzws"	"1544665338064932"	"dc_pre=CNf8iebWm98CFYOpaAod5IsL7A;u1=4513525805;u2=2340273731;u4=138237460995;u5=300x250;u6=j;u7=3d5452f2f2476411b2f87a3dacebc9eb;~oref=https://www.testsite03.com.au/"
"0"	"1544659049231206"	"u1=http://m.facebook.com/;u2=article;u3=National;u4=nsw;u5=Article;dc_rdid=*;_dc_1=3;~oref=https://www.testsite03.com.au/national/nsw/grieving-mother-releases-first-images-of-slain-children-jack-and-jennifer-20180707-p4zq58.html"
"CAESEAhvNNYTo06hDCQMClxy_N8"	"1544672944077545"	"dc_pre=CPnw65Dzm98CFVlHKwodtnMJQg;u1=4617842802;u2=2384539156;u4=138249792492;u5=728x90;u6=j;~oref=https://www.testsite03.com.au/"
"CAESEM8MM7xI8cx51LH9oW8-BAo"	"1544665407393425"	"dc_pre=CJ7MlIfXm98CFRghKgodHfgKbA;u1=4513525805;u2=2267623893;u4=138253630861;u5=728x90;u6=j;~oref=https://www.testsite01.com.au/national/history-of-violence-overshadowed-generosity-20100202-nayz.html"
"0"	"1544655877556520"	"dc_pre=CKv66cazm98CFfcDrQYdFO8BbA;u1=https://www.google.com/;u2=article;u3=Homepage;u5=Homepage;dc_rdid=*;_dc_1=3;~oref=https://www.testsite01.com.au/sport/soccer/ffa-board-decides-on-winning-bids-as-expansion-goes-ahead-next-season-20181213-p50lxe.html"
"CAESEBlCbqk366pKb1RuVV33yk0"	"1544665215032067"	"u1=4537116216;u2=2406046948;u4=138254010892;u5=970x250;u6=j;u7=a9416627d57a925439eb28afb869f0f8;~oref=https://www.testsite03.com.au/"
"CAESEGxD5N9ELVK_bZ6gv-w8gRA"	"1544698861149821"	"dc_pre=CMXel9fTnN8CFQ2CcAodiTABcw;u1=4513525805;u2=2434229743;u4=138251396370;u5=728x90;u6=j;~oref=https://www.testsite03.com.au/"
"CAESEN7nr5DExHjrqV0jFPwH7Io"	"1544683100767461"	"dc_pre=CKXE__uYnN8CFYtMKwodQ3APTg;u1=4537116216;u2=2406046948;u4=138254010892;u5=970x250;u6=j;~oref=https://www.testsite01.com.au/"
"CAESEEfjhhSqvfhmqqqDjTbKB5g"	"1544657651747200"	"u1=4513525805;u2=2444571013;u4=138253817282;u5=970x250;u6=j;u7=2b3c29dff896873a6e2832d75c9e1591;~oref=https://www.testsite01.com.au/"
"0"	"1544669500977582"	"dc_pre=CLfjxqbmm98CFYVMKwodQYkB4A;u1=https://www.testsite01.com.au/;u2=article;u3=Homepage;u5=Homepage;dc_rdid=*;_dc_1=3;~oref=https://www.testsite01.com.au/"
"0"	"1544644464643630"	"u1=4603226138;u2=2361590083;u4=138244233703;u5=970x250;u6=j;_dc_1=3;~oref=https://www.testsite01.com.au/world/north-america/police-thought-he-was-eaten-by-alligators-in-2000-now-his-high-school-sweetheart-is-on-trial-20181213-p50lwp.html"
"CAESECFn_HJ2CYocIbLYze3RGBk"	"1544688018786211"	"u1=4537116216;u2=2406046948;u4=138254010736;u5=970x250;u6=j;~oref=https://www.testsite01.com.au/"
